GEOID20,District
34029160001,2
34029080005,2
34029080001,2
34029080011,2
34029150005,2
34001010501,2
34001010502,2
34001010404,2
34001010302,2
34001010401,2
34005185001,3
34005005001,3
34001042103,2
34005165004,3
34005165002,3
34001045001,2
34001040004,2
34005165001,3
34005165003,3
34007175006,1
34007175004,1
34001065003,2
34005105016,3
34001050001,2
34001065002,2
34001065001,2
34007175003,1
34007175007,1
34007180202,1
34007180105,1
34007180104,1
34007045001,1
34007180106,1
34007170016,1
34007170011,1
34007170009,1
34007030003,1
34007030001,1
34007170010,1
34007025002,1
34007025004,1
34007110009,1
34007065002,1
34007065001,1
34009ZZZZZZ,2
34009015001,2
34015035002,2
34015035001,2
34015120002,2
34015080002,2
34007110004,1
34007050003,1
34007110007,1
34007110003,1
34007160001,1
34007160003,1
34007140001,1
34007095001,1
34007160006,1
34007160004,1
34007155004,1
34007110008,1
34007110001,1
34007160002,1
34007075026,1
34007075011,1
34007075015,1
34007075012,1
34007075025,1
34007075016,1
34007075024,1
34007075003,1
34015035005,2
34015070002,1
34015035004,2
34015070001,1
34007075001,1
34015070003,1
34015070004,1
34007075022,1
34011040001,2
34007075002,1
34007075006,1
34015090008,1
34007075013,1
34015010008,1
34007075004,1
34015010021,1
34033070002,2
34015025005,2
34015025007,2
34033050001,2
34015010018,1
34015010006,1
34015010002,1
34015010010,1
34015010016,1
34015010022,1
34015010009,1
34015110201,1
34015110203,1
34015110202,1
34015110302,1
34015110204,1
34015110304,1
34015110303,1
34015110301,1
34015040004,2
34015040002,2
34015050001,1
34015050010,1
34015075007,1
34015075004,1
34015050006,1
34015100006,1
34015100013,1
34015100017,1
34015100011,1
34015100014,1
34015050012,1
34015050008,1
34015015001,1
34029080002,2
34001010603,2
34001010601,2
34001010602,2
34001110005,2
34001010402,2
34001010403,2
34001010301,2
34001095201,2
34001095104,2
34001095103,2
34001055015,2
34001005101,2
34001055014,2
34001055001,2
34001055009,2
34001100201,2
34001055008,2
34001055007,2
34001100101,2
34001055002,2
34001085201,2
34001085301,2
34001010303,2
34001010203,2
34001010202,2
34001015401,2
34001015301,2
34001ZZZZZZ,2
34001010104,2
34001015101,2
34029080008,2
34029080014,2
34029085002,2
34009050002,2
34009050001,2
34029080007,2
34029080013,2
34029040001,2
34001025003,2
34001105204,2
34001105102,2
34001105103,2
34001040005,2
34001040001,2
34011020002,2
34011020001,2
34011010001,2
34001040006,2
34001105104,2
34011070608,2
34011050104,2
34011070602,2
34011070607,2
34011070609,2
34011015001,2
34033050004,2
34011070205,2
34011045002,2
34009030007,2
34009030015,2
34009020006,2
34009030001,2
34009020007,2
34001070201,2
34011045001,2
34001040002,2
34001105201,2
34001105203,2
34001040018,2
34001055004,2
34001070202,2
34009020003,2
34009055001,2
34001070102,2
34001070101,2
34001070203,2
34009030009,2
34009030004,2
34009030005,2
34009030006,2
34009030017,2
34009055008,2
34001030101,2
34009055012,2
34009005001,2
34009045004,2
34009055006,2
34009055002,2
34009055007,2
34009040401,2
34001105101,2
34009040403,2
34009040402,2
34011070606,2
34011070604,2
34011070601,2
34011070610,2
34001090204,2
34001095204,2
34001075001,2
34001080004,2
34009040201,2
34009040204,2
34009040203,2
34001105202,2
34011070406,2
34011070407,2
34011070102,2
34015025004,2
34001020001,2
34011070605,2
34011070103,2
34011070101,2
34001080003,2
34001090101,2
34001090102,2
34015025009,2
34001080002,2
34001080001,2
34001110003,2
34001060011,2
34001060007,2
34001060013,2
34011010002,2
34009040102,2
34009040202,2
34009040104,2
34009040103,2
34009040101,2
34007180304,1
34007180405,1
